ID,MATRICULA,COD_CURSO,CURSO,PERIODO,CODIGO,DISCIPLINA,CREDITOS,DEPARTAMENTO,MEDIA,SITUACAO,PERIODO_INGRESSO,PERIODO_RELATIVO,COD_EVASAO
13,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,8.6,Aprovado,2002.1,1,0
14,733623117,14123100,ENGENHARIA ELETRICA,2004.1,1404147,LAB. DISPOSITIVOS ELETRONICOS,1,UNID. ACAD. DE ENGENHARIA ELETRICA,8,Aprovado,2002.1,5,0
15,733623117,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,8,Aprovado,2002.1,1,0
16,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,9.3,Aprovado,2002.1,1,0
17,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,9.1,Aprovado,2002.1,1,0
18,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,7.7,Aprovado,2002.1,1,0
19,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,9.5,Aprovado,2002.1,1,0
20,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,8.6,Aprovado,2002.1,1,0
21,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,9.6,Aprovado,2002.1,1,0
22,21231800,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,8,Aprovado,2002.1,1,0
23,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,8,Aprovado,2002.1,1,0
24,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,8.9,Aprovado,2002.1,1,0
25,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1404166,LAB ARQUIT. DE SISTEMAS DIGITAIS,2,UNID. ACAD. DE ENGENHARIA ELETRICA,NA,Trancado,2002.1,5,0
26,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1404160,ANALISE DE SINAIS E SISTEMAS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
27,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,7.8,Aprovado,2002.1,1,0
28,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1503034,FENOMENOS DE TRANSPORTE,5,UNID. ACAD. DE ENGENHARIA CIVIL,0,Reprovado por Falta,2002.1,5,0
29,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,9,Aprovado,2002.1,1,0
30,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,7.2,Aprovado,2002.1,1,0
31,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1404142,LAB. ELETROMAGNETISMO,1,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
32,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1106058,INTRODUCAO A CIENCIA DOS MATERIAIS,4,UNID. ACAD. DE ENGENHARIA DE MATERIAIS,2.8,Reprovado,2002.1,5,0
33,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1404137,CIRCUITOS ELETRICOS I,4,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
34,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,8.8,Aprovado,2002.1,1,0
35,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1303021,ECONOMIA,4,UNID. ACAD. DE ECONOMIA E FINANCAS,NA,Trancado,2002.1,5,0
36,783768028,14123100,ENGENHARIA ELETRICA,2004.1,1404165,ARQUITETURA DE SISTEMAS DIGITAIS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,9.1,Aprovado,2002.1,5,0
37,783768028,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,8,Aprovado,2002.1,1,0
38,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,3.2,Reprovado,2002.1,1,0
39,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1305033,SOCIOLOGIA INDUSTRIAL I,3,UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA,NA,Trancado,2002.1,5,0
40,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1404164,LAB. CIRCUITOS LOGICOS,1,UNID. ACAD. DE ENGENHARIA ELETRICA,NA,Trancado,2002.1,5,0
41,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,2.3,Reprovado,2002.1,1,0
42,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,0,Reprovado por Falta,2002.1,1,0
43,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1404163,CIRCUITOS LOGICOS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,0.8,Reprovado,2002.1,5,0
44,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1303021,ECONOMIA,4,UNID. ACAD. DE ECONOMIA E FINANCAS,8.3,Aprovado,2002.1,5,0
45,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,9.5,Aprovado,2002.1,1,0
46,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1109050,CALCULO DIFERENCIAL E INTEGRAL I,6,UNID. ACAD. DE MATEMATICA,6.8,Aprovado,2002.1,5,0
47,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,NA,Trancado,2002.1,1,0
48,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,6.1,Aprovado,2002.1,1,0
49,358985394,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.3,Aprovado,2002.1,1,0
50,358985394,14123100,ENGENHARIA ELETRICA,2004.1,1109101,ALGEBRA LINEAR,4,UNID. ACAD. DE MATEMATICA,2.7,Reprovado,2002.1,5,0
51,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,9,Aprovado,2002.1,1,0
52,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1109106,EQUACOES DIFERENCIAIS,4,UNID. ACAD. DE MATEMATICA,0,Reprovado por Falta,2002.1,5,0
53,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1108084,LAB. DE OPTICA ELETRICIDADE E MAGNETISMO,4,UNID. ACAD. DE FISICA,0,Reprovado por Falta,2002.1,5,0
54,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1108085,MECANICA I,4,UNID. ACAD. DE FISICA,0,Reprovado por Falta,2002.1,5,0
55,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1108083,ELETRICIDADE E MAGNETISMO,4,UNID. ACAD. DE FISICA,0,Reprovado por Falta,2002.1,5,0
56,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,8.4,Aprovado,2002.1,1,0
57,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,9.7,Aprovado,2002.1,1,0
58,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1109105,CALCULO DIFERENCIAL E INTEGRAL III,5,UNID. ACAD. DE MATEMATICA,2.2,Reprovado,2002.1,5,0
59,646594077,14123100,ENGENHARIA ELETRICA,2004.1,1107212,QUIMICA,5,UNID. ACAD. DE ENGENHARIA QUIMICA,0,Reprovado por Falta,2002.1,5,0
60,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,7.5,Aprovado,2002.1,1,0
61,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,7.4,Aprovado,2002.1,1,0
62,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,1,0
63,646594077,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,7,Aprovado,2002.1,1,0
64,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,1,0
65,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1404139,LAB. CIRCUITOS ELETRICOS I,1,UNID. ACAD. DE ENGENHARIA ELETRICA,8,Aprovado,2002.1,5,0
66,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1404141,ELETROMAGNETISMO,4,UNID. ACAD. DE ENGENHARIA ELETRICA,5.4,Aprovado,2002.1,5,0
67,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1411075,CALCULO NUMERICO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7,Aprovado,2002.1,5,0
68,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1109011,VARIAVEIS COMPLEXAS,4,UNID. ACAD. DE MATEMATICA,7,Aprovado,2002.1,5,0
69,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,6.6,Aprovado,2002.1,1,0
70,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1108085,MECANICA I,4,UNID. ACAD. DE FISICA,8.4,Aprovado,2002.1,5,0
71,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,5.5,Aprovado,2002.1,1,0
72,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.9,Aprovado,2002.1,1,0
73,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1404137,CIRCUITOS ELETRICOS I,4,UNID. ACAD. DE ENGENHARIA ELETRICA,2.9,Reprovado,2002.1,5,0
74,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,4.1,Reprovado,2002.1,1,0
75,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,5.7,Aprovado,2002.1,1,0
76,934202760,14123100,ENGENHARIA ELETRICA,2004.1,1404142,LAB. ELETROMAGNETISMO,1,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,5,0
77,934202760,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,5,Aprovado,2002.1,1,0
78,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,7,Aprovado,2002.1,1,0
79,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1114109,PROCESSOS ESTOCASTICOS,4,UNID. ACAD. DE ESTATISTICA,NA,Trancado,2002.1,5,0
80,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1404137,CIRCUITOS ELETRICOS I,4,UNID. ACAD. DE ENGENHARIA ELETRICA,5.2,Aprovado,2002.1,5,0
81,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,7.5,Aprovado,2002.1,1,0
82,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,5.5,Aprovado,2002.1,1,0
83,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,5.6,Aprovado,2002.1,1,0
84,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,7.6,Aprovado,2002.1,1,0
85,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1109011,VARIAVEIS COMPLEXAS,4,UNID. ACAD. DE MATEMATICA,7.3,Aprovado,2002.1,5,0
86,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1108086,MECANICA II,4,UNID. ACAD. DE FISICA,8.4,Aprovado,2002.1,5,0
87,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.7,Aprovado,2002.1,1,0
88,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1404139,LAB. CIRCUITOS ELETRICOS I,1,UNID. ACAD. DE ENGENHARIA ELETRICA,8.8,Aprovado,2002.1,5,0
89,984347671,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,5.3,Aprovado,2002.1,1,0
90,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1404141,ELETROMAGNETISMO,4,UNID. ACAD. DE ENGENHARIA ELETRICA,6.2,Aprovado,2002.1,5,0
91,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1411075,CALCULO NUMERICO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,5.1,Aprovado,2002.1,5,0
92,984347671,14123100,ENGENHARIA ELETRICA,2004.1,1404142,LAB. ELETROMAGNETISMO,1,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,5,0
93,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,5.9,Aprovado,2002.1,1,0
94,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1109011,VARIAVEIS COMPLEXAS,4,UNID. ACAD. DE MATEMATICA,7.3,Aprovado,2002.1,5,0
95,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,5.7,Aprovado,2002.1,1,0
96,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1106058,INTRODUCAO A CIENCIA DOS MATERIAIS,4,UNID. ACAD. DE ENGENHARIA DE MATERIAIS,8.3,Aprovado,2002.1,5,0
97,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,0,Reprovado por Falta,2002.1,1,0
98,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1404142,LAB. ELETROMAGNETISMO,1,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,5,0
99,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1411075,CALCULO NUMERICO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.5,Aprovado,2002.1,5,0
100,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,7.7,Aprovado,2002.1,1,0
101,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1404139,LAB. CIRCUITOS ELETRICOS I,1,UNID. ACAD. DE ENGENHARIA ELETRICA,8.5,Aprovado,2002.1,5,0
102,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,7.5,Aprovado,2002.1,1,0
103,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,7.9,Aprovado,2002.1,1,0
104,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1404141,ELETROMAGNETISMO,4,UNID. ACAD. DE ENGENHARIA ELETRICA,5.4,Aprovado,2002.1,5,0
105,34492582,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,7.6,Aprovado,2002.1,1,0
106,34492582,14123100,ENGENHARIA ELETRICA,2004.1,1404137,CIRCUITOS ELETRICOS I,4,UNID. ACAD. DE ENGENHARIA ELETRICA,3,Reprovado,2002.1,5,0
107,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,8,Aprovado,2002.1,1,0
108,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,7.2,Aprovado,2002.1,1,0
109,797028809,14123100,ENGENHARIA ELETRICA,2004.1,1114107,PROBABILIDADE E ESTATISTICA,4,UNID. ACAD. DE ESTATISTICA,8,Aprovado,2002.1,5,0
110,797028809,14123100,ENGENHARIA ELETRICA,2004.1,1108086,MECANICA II,4,UNID. ACAD. DE FISICA,7,Aprovado,2002.1,5,0
111,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,7.3,Aprovado,2002.1,1,0
112,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,7.3,Aprovado,2002.1,1,0
113,797028809,14123100,ENGENHARIA ELETRICA,2004.1,1108083,ELETRICIDADE E MAGNETISMO,4,UNID. ACAD. DE FISICA,7,Aprovado,2002.1,5,0
114,797028809,14123100,ENGENHARIA ELETRICA,2004.1,1411075,CALCULO NUMERICO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.3,Aprovado,2002.1,5,0
115,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,7.5,Aprovado,2002.1,1,0
116,797028809,14123100,ENGENHARIA ELETRICA,2004.1,1109011,VARIAVEIS COMPLEXAS,4,UNID. ACAD. DE MATEMATICA,7.5,Aprovado,2002.1,5,0
117,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,7.1,Aprovado,2002.1,1,0
118,797028809,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,5.8,Aprovado,2002.1,1,0
119,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1404163,CIRCUITOS LOGICOS,4,UNID. ACAD. DE ENGENHARIA ELETRICA,5.8,Aprovado,2002.1,5,0
120,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1411161,TECNICAS DE PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7.3,Aprovado,2002.1,5,0
121,322101265,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,1.6,Reprovado,2002.1,1,0
122,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1109101,ALGEBRA LINEAR,4,UNID. ACAD. DE MATEMATICA,8.7,Aprovado,2002.1,5,0
123,322101265,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,3.3,Reprovado,2002.1,1,0
124,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1108082,FISICA EXPERIMENTAL,4,UNID. ACAD. DE FISICA,5,Aprovado,2002.1,5,0
125,322101265,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,5.4,Aprovado,2002.1,1,0
126,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1108081,FISICA GERAL II,4,UNID. ACAD. DE FISICA,2.2,Reprovado,2002.1,5,0
127,322101265,14123100,ENGENHARIA ELETRICA,2002.1,1411160,INTRODUCAO A PROGRAMACAO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,7,Aprovado,2002.1,1,0
128,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1109104,CALCULO DIFERENCIAL E INTEGRAL II,4,UNID. ACAD. DE MATEMATICA,5.6,Aprovado,2002.1,5,0
129,322101265,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,8.3,Aprovado,2002.1,1,0
130,322101265,14123100,ENGENHARIA ELETRICA,2004.1,1404164,LAB. CIRCUITOS LOGICOS,1,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
131,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1404142,LAB. ELETROMAGNETISMO,1,UNID. ACAD. DE ENGENHARIA ELETRICA,7,Aprovado,2002.1,5,0
132,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1108086,MECANICA II,4,UNID. ACAD. DE FISICA,7.8,Aprovado,2002.1,5,0
133,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1503038,CIENCIAS DO AMBIENTE,3,UNID. ACAD. DE ENGENHARIA CIVIL,NA,Trancado,2002.1,1,0
134,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1114107,PROBABILIDADE E ESTATISTICA,4,UNID. ACAD. DE ESTATISTICA,7.2,Aprovado,2002.1,5,0
135,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1404132,INTRODUCAO A ENGENHARIA ELETRICA,2,UNID. ACAD. DE ENGENHARIA ELETRICA,NA,Trancado,2002.1,1,0
136,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1411075,CALCULO NUMERICO,4,UNID. ACAD. DE SISTEMAS E COMPUTACAO,4,Reprovado,2002.1,5,0
137,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1108080,FISICA I,4,UNID. ACAD. DE FISICA,NA,Trancado,2002.1,1,0
138,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1109011,VARIAVEIS COMPLEXAS,4,UNID. ACAD. DE MATEMATICA,7.3,Aprovado,2002.1,5,0
139,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1404141,ELETROMAGNETISMO,4,UNID. ACAD. DE ENGENHARIA ELETRICA,4.1,Reprovado,2002.1,5,0
140,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1404137,CIRCUITOS ELETRICOS I,4,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
141,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1105306,EXPRESSAO GRAFICA,4,UNID. ACAD. DE ENGENHARIA MECANICA,NA,Trancado,2002.1,1,0
142,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1109103,CALCULO DIFERENCIAL E INTEGRAL I,4,UNID. ACAD. DE MATEMATICA,NA,Trancado,2002.1,1,0
143,609709948,14123100,ENGENHARIA ELETRICA,2004.1,1404139,LAB. CIRCUITOS ELETRICOS I,1,UNID. ACAD. DE ENGENHARIA ELETRICA,0,Reprovado por Falta,2002.1,5,0
144,609709948,14123100,ENGENHARIA ELETRICA,2002.1,1109035,ALGEBRA VETORIAL E GEOMETRIA ANALITICA,4,UNID. ACAD. DE MATEMATICA,NA,Trancado,2002.1,1,0
